date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:36	57199/57199	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2011:57:24%20GMT	https://plethorathemes.com/healthflex/health-coach/	C:/Users/antor/Desktop/web/markethealth.ml/plethorathemes.com/healthflex/health-coach/index.html	(from )
18:12:36	121/121	---M-Z	200	added ('OK')	text/plain	date:Wed,%2002%20May%202018%2012:13:17%20GMT	https://plethorathemes.com/robots.txt		(from )
18:12:36	1683/1683	---M-Z	200	added ('OK')	text/css	etag:%22693-566b2c929ae3f-gzip%22	https://plethorathemes.com/healthflex/health-coach/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.1	C:/Users/antor/Desktop/web/markethealth.ml/plethorathemes.com/healthflex/health-coach/wp-content/plugins/contact-form-7/includes/css/styles972f.css	(from https://plethorathemes.com/healthflex/health-coach/)
18:12:37	8012/8012	---M-Z	200	added ('OK')	application/rss+xml	etag:%2211cb2ebb229417ff34d878caf85a8c0c%22	https://plethorathemes.com/healthflex/health-coach/feed/	C:/Users/antor/Desktop/web/markethealth.ml/plethorathemes.com/healthflex/health-coach/feed/index.html	(from https://plethorathemes.com/healthflex/health-coach/)
18:12:37	795/795	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ccfbb3ce2a7f3647fb6e0f452f84aac4%22	https://plethorathemes.com/healthflex/health-coach/comments/feed/	C:/Users/antor/Desktop/web/markethealth.ml/plethorathemes.com/healthflex/health-coach/comments/feed/index.html	(from https://plethorathemes.com/healthflex/health-coach/)
18:12:37	922/922	---M-Z	200	added ('OK')	text/css	etag:%2239a-5692ca7c57f9f-gzip%22	https://plethorathemes.com/healthflex/health-coach/wp-content/plugins/jetpack/modules/widgets/social-icons/social-icons.css?ver=20170506	C:/Users/antor/Desktop/web/markethealth.ml/plethorathemes.com/healthflex/health-coach/wp-content/plugins/jetpack/modules/widgets/social-icons/social-iconsf4df.css	(from https://plethorathemes.com/healthflex/health-coach/)
18:12:38	2007/2007	---M-Z	200	added ('OK')	text/css	etag:%227d7-52db8abd9c9b9-gzip%22	https://plethorathemes.com/healthflex/health-coach/wp-content/themes/healthflex/includes/core/assets/js/libs/owl.carousel.2.0.0-beta.2.4/css/owl.carousel.css?ver=4.9.5	C:/Users/antor/Desktop/web/markethealth.ml/plethorathemes.com/healthflex/health-coach/wp-content/themes/healthflex/includes/core/assets/js/libs/owl.carousel.2.0.0-beta.2.4/css/owl.carousel55fe.css	(from https://plethorathemes.com/healthflex/health-coach/)
18:12:38	266/266	---M--	200	added ('OK')	text/calendar	date:Wed,%2002%20May%202018%2012:13:19%20GMT	https://plethorathemes.com/healthflex/health-coach/events/?ical=1	C:/Users/antor/Desktop/web/markethealth.ml/plethorathemes.com/healthflex/health-coach/events/indexedf3.html	(from https://plethorathemes.com/healthflex/health-coach/)
18:12:38	1512/1512	---M-Z	200	added ('OK')	text/css	etag:%225e8-52db8abd9c9b9-gzip%22	https://plethorathemes.com/healthflex/health-coach/wp-content/themes/healthflex/includes/core/assets/js/libs/owl.carousel.2.0.0-beta.2.4/css/owl.theme.default.css?ver=4.9.5	C:/Users/antor/Desktop/web/markethealth.ml/plethorathemes.com/healthflex/health-coach/wp-content/themes/healthflex/includes/core/assets/js/libs/owl.carousel.2.0.0-beta.2.4/css/owl.theme.default55fe.css	(from https://plethorathemes.com/healthflex/health-coach/)
18:12:38	38367/38367	---M-Z	200	added ('OK')	text/css	etag:%2295df-53e37fbbbaa11-gzip%22	https://plethorathemes.com/healthflex/health-coach/wp-content/uploads/sites/3/plethora/plethora_icons.css?uniqeid=57f6b15aa176a&ver=4.9.5	C:/Users/antor/Desktop/web/markethealth.ml/plethorathemes.com/healthflex/health-coach/wp-content/uploads/sites/3/plethora/plethora_iconsc31e.css	(from https://plethorathemes.com/healthflex/health-coach/)
